sequence,seq_type,method,pair,baseline_idx,ratio,num_matches,num_correct,num_ground_truth
i_ajuntament,illumination,orb,1_6,6,0.6,1,0,587
i_ajuntament,illumination,orb,1_6,6,0.65,4,2,587
i_ajuntament,illumination,orb,1_6,6,0.7,10,3,587
i_ajuntament,illumination,orb,1_6,6,0.75,26,7,587
i_ajuntament,illumination,orb,1_6,6,0.8,58,14,587
i_ajuntament,illumination,orb,1_6,6,0.85,156,15,587
i_ajuntament,illumination,orb,1_6,6,0.9,391,25,587
i_ajuntament,illumination,orb,1_6,6,0.95,858,34,587
i_ajuntament,illumination,orb,1_6,6,0.99,1709,44,587
i_autannes,illumination,sift,1_2,2,0.5,383,383,1031
i_autannes,illumination,sift,1_2,2,0.55,448,447,1031
i_autannes,illumination,sift,1_2,2,0.6,497,493,1031
i_autannes,illumination,sift,1_2,2,0.65,553,543,1031
i_autannes,illumination,sift,1_2,2,0.7,600,584,1031
i_autannes,illumination,sift,1_2,2,0.75,641,619,1031
i_autannes,illumination,sift,1_2,2,0.8,700,656,1031
i_autannes,illumination,sift,1_2,2,0.85,779,682,1031
i_autannes,illumination,sift,1_2,2,0.9,963,704,1031
i_autannes,illumination,sift,1_2,2,0.95,1429,721,1031
i_autannes,illumination,sift,1_2,2,0.99,2332,735,1031
i_autannes,illumination,sift,1_3,3,0.5,244,243,877
i_autannes,illumination,sift,1_3,3,0.55,291,287,877
i_autannes,illumination,sift,1_3,3,0.6,335,329,877
i_autannes,illumination,sift,1_3,3,0.65,379,367,877
i_autannes,illumination,sift,1_3,3,0.7,418,401,877
i_autannes,illumination,sift,1_3,3,0.75,456,429,877
i_autannes,illumination,sift,1_3,3,0.8,495,448,877
i_autannes,illumination,sift,1_3,3,0.85,588,471,877
i_autannes,illumination,sift,1_3,3,0.9,789,497,877
i_autannes,illumination,sift,1_3,3,0.95,1262,511,877
i_autannes,illumination,sift,1_3,3,0.99,2262,521,877
i_autannes,illumination,sift,1_4,4,0.5,7,2,977
i_autannes,illumination,sift,1_4,4,0.55,11,4,977
i_autannes,illumination,sift,1_4,4,0.6,23,8,977
i_autannes,illumination,sift,1_4,4,0.65,34,11,977
i_autannes,illumination,sift,1_4,4,0.7,50,18,977
i_autannes,illumination,sift,1_4,4,0.75,72,27,977
i_autannes,illumination,sift,1_4,4,0.8,115,37,977
i_autannes,illumination,sift,1_4,4,0.85,214,50,977
i_autannes,illumination,sift,1_4,4,0.9,417,64,977
i_autannes,illumination,sift,1_4,4,0.95,1025,80,977
i_autannes,illumination,sift,1_4,4,0.99,2196,98,977
i_autannes,illumination,sift,1_5,5,0.5,6,5,1039
i_autannes,illumination,sift,1_5,5,0.55,14,12,1039
i_autannes,illumination,sift,1_5,5,0.6,21,18,1039
i_autannes,illumination,sift,1_5,5,0.65,28,24,1039
i_autannes,illumination,sift,1_5,5,0.7,43,36,1039
i_autannes,illumination,sift,1_5,5,0.75,69,50,1039
i_autannes,illumination,sift,1_5,5,0.8,104,57,1039
i_autannes,illumination,sift,1_5,5,0.85,185,75,1039
i_autannes,illumination,sift,1_5,5,0.9,384,94,1039
i_autannes,illumination,sift,1_5,5,0.95,960,118,1039
i_autannes,illumination,sift,1_5,5,0.99,2188,138,1039
i_autannes,illumination,sift,1_6,6,0.5,110,107,1043
i_autannes,illumination,sift,1_6,6,0.55,138,134,1043
i_autannes,illumination,sift,1_6,6,0.6,162,158,1043
i_autannes,illumination,sift,1_6,6,0.65,177,172,1043
i_autannes,illumination,sift,1_6,6,0.7,209,199,1043
i_autannes,illumination,sift,1_6,6,0.75,250,231,1043
i_autannes,illumination,sift,1_6,6,0.8,294,259,1043
i_autannes,illumination,sift,1_6,6,0.85,379,285,1043
i_autannes,illumination,sift,1_6,6,0.9,604,326,1043
i_autannes,illumination,sift,1_6,6,0.95,1222,363,1043
i_autannes,illumination,sift,1_6,6,0.99,2238,386,1043
i_autannes,illumination,orb,1_2,2,0.5,60,60,314
i_autannes,illumination,orb,1_2,2,0.55,63,63,314
i_autannes,illumination,orb,1_2,2,0.6,74,72,314
i_autannes,illumination,orb,1_2,2,0.65,80,78,314
i_autannes,illumination,orb,1_2,2,0.7,94,91,314
i_autannes,illumination,orb,1_2,2,0.75,110,101,314
i_autannes,illumination,orb,1_2,2,0.8,128,106,314
i_autannes,illumination,orb,1_2,2,0.85,178,115,314
i_autannes,illumination,orb,1_2,2,0.9,347,124,314
i_autannes,illumination,orb,1_2,2,0.95,809,133,314
i_autannes,illumination,orb,1_2,2,0.99,1780,142,314
i_autannes,illumination,orb,1_3,3,0.5,14,14,212
i_autannes,illumination,orb,1_3,3,0.55,19,19,212
i_autannes,illumination,orb,1_3,3,0.6,20,20,212
i_autannes,illumination,orb,1_3,3,0.65,23,22,212
i_autannes,illumination,orb,1_3,3,0.7,34,28,212
i_autannes,illumination,orb,1_3,3,0.75,38,29,212
i_autannes,illumination,orb,1_3,3,0.8,67,33,212
i_autannes,illumination,orb,1_3,3,0.85,139,39,212
i_autannes,illumination,orb,1_3,3,0.9,336,43,212
i_autannes,illumination,orb,1_3,3,0.95,833,56,212
i_autannes,illumination,orb,1_3,3,0.99,1780,66,212
i_autannes,illumination,orb,1_4,4,0.5,0,0,491
i_autannes,illumination,orb,1_4,4,0.55,3,3,491
i_autannes,illumination,orb,1_4,4,0.6,5,5,491
i_autannes,illumination,orb,1_4,4,0.65,11,10,491
i_autannes,illumination,orb,1_4,4,0.7,21,19,491
i_autannes,illumination,orb,1_4,4,0.75,34,26,491
i_autannes,illumination,orb,1_4,4,0.8,55,38,491
i_autannes,illumination,orb,1_4,4,0.85,115,46,491
i_autannes,illumination,orb,1_4,4,0.9,307,55,491
i_autannes,illumination,orb,1_4,4,0.95,799,74,491
i_autannes,illumination,orb,1_4,4,0.99,1743,83,491
i_autannes,illumination,orb,1_5,5,0.5,0,0,594
i_autannes,illumination,orb,1_5,5,0.55,1,1,594
i_autannes,illumination,orb,1_5,5,0.6,2,2,594
i_autannes,illumination,orb,1_5,5,0.65,7,6,594
i_autannes,illumination,orb,1_5,5,0.7,10,8,594
i_autannes,illumination,orb,1_5,5,0.75,21,14,594
i_autannes,illumination,orb,1_5,5,0.8,49,19,594
i_autannes,illumination,orb,1_5,5,0.85,109,27,594
i_autannes,illumination,orb,1_5,5,0.9,296,41,594
i_autannes,illumination,orb,1_5,5,0.95,824,57,594
i_autannes,illumination,orb,1_5,5,0.99,1774,75,594
i_autannes,illumination,orb,1_6,6,0.5,48,48,1649
i_autannes,illumination,orb,1_6,6,0.55,74,72,1649
i_autannes,illumination,orb,1_6,6,0.6,94,91,1649
i_autannes,illumination,orb,1_6,6,0.65,131,124,1649
i_autannes,illumination,orb,1_6,6,0.7,173,164,1649
i_autannes,illumination,orb,1_6,6,0.75,230,210,1649
i_autannes,illumination,orb,1_6,6,0.8,303,265,1649
i_autannes,illumination,orb,1_6,6,0.85,434,332,1649
i_autannes,illumination,orb,1_6,6,0.9,658,415,1649
i_autannes,illumination,orb,1_6,6,0.95,1090,499,1649
i_autannes,illumination,orb,1_6,6,0.99,1822,580,1649
i_bologna,illumination,sift,1_2,2,0.5,52,52,203
i_bologna,illumination,sift,1_2,2,0.55,62,62,203
i_bologna,illumination,sift,1_2,2,0.6,73,72,203
i_bologna,illumination,sift,1_2,2,0.65,83,81,203
i_bologna,illumination,sift,1_2,2,0.7,90,88,203
i_bologna,illumination,sift,1_2,2,0.75,97,94,203
i_bologna,illumination,sift,1_2,2,0.8,109,100,203
i_bologna,illumination,sift,1_2,2,0.85,127,110,203
i_bologna,illumination,sift,1_2,2,0.9,164,124,203
i_bologna,illumination,sift,1_2,2,0.95,204,130,203
i_bologna,illumination,sift,1_2,2,0.99,249,134,203
i_bologna,illumination,sift,1_3,3,0.5,42,41,180
i_bologna,illumination,sift,1_3,3,0.55,53,51,180
i_bologna,illumination,sift,1_3,3,0.6,61,57,180
